"symbol" "sector"
"NU" "matTelUtil"
"NUE" "matTelUtil"
"NWL" "ConsumerDiscretionary"
"OI" "matTelUtil"
"OKE" "matTelUtil"
"OMC" "ConsumerDiscretionary"
"ORCL" "InfoTech"
"ORLY" "ConsumerDiscretionary"
"OXY" "Energy"
"PAYX" "InfoTech"
"PBCT" "Financials"
"PBI" "Industrials"
"PCAR" "Industrials"
"PCG" "matTelUtil"
"PCL" "Financials"
"PCP" "Industrials"
"PDCO" "HealthCare"
"PEP" "ConsumerStaples"
"PETM" "ConsumerDiscretionary"
"PFE" "HealthCare"
"PG" "ConsumerStaples"
"PGR" "Financials"
"PH" "Industrials"
"PHM" "ConsumerDiscretionary"
"PLL" "Industrials"
"PNC" "Financials"
"PNR" "Industrials"
"PNW" "matTelUtil"
"POM" "matTelUtil"
"PPG" "matTelUtil"
"PPL" "matTelUtil"
"PRGO" "HealthCare"
"PSA" "Financials"
"PVH" "ConsumerDiscretionary"
"PX" "matTelUtil"
"QCOM" "InfoTech"
"R" "Industrials"
"RDC" "Energy"
"RF" "Financials"
"RHI" "Industrials"
"ROK" "Industrials"
"ROP" "Industrials"
"ROST" "ConsumerDiscretionary"
"RRC" "Energy"
"RTN" "Industrials"
"SBUX" "ConsumerDiscretionary"
"SCG" "matTelUtil"
"SCHW" "Financials"
"SEE" "matTelUtil"
"SHW" "matTelUtil"
"SIAL" "matTelUtil"
"SLB" "Energy"
"SLM" "Financials"
"SNA" "Industrials"
"SO" "matTelUtil"
"SPG" "Financials"
"SPLS" "ConsumerDiscretionary"
"STI" "Financials"
"STJ" "HealthCare"
"STT" "Financials"
"STZ" "ConsumerStaples"
"SWK" "Industrials"
"SWN" "Energy"
"SWY" "ConsumerStaples"
"SYK" "HealthCare"
"SYMC" "InfoTech"
"SYY" "ConsumerStaples"
"T" "matTelUtil"
"TAP" "ConsumerStaples"
"TE" "matTelUtil"
"TEG" "matTelUtil"
"TER" "InfoTech"
"TGT" "ConsumerDiscretionary"
"THC" "HealthCare"
"TIF" "ConsumerDiscretionary"
"TJX" "ConsumerDiscretionary"
"TMK" "Financials"
"TMO" "HealthCare"
"TROW" "Financials"
"TRV" "Financials"
"TSN" "ConsumerStaples"
"TSO" "Energy"
"TSS" "InfoTech"
"TWX" "ConsumerDiscretionary"
"TXN" "InfoTech"
"TXT" "Industrials"
"TYC" "Industrials"
"UNH" "HealthCare"
"UNP" "Industrials"
"USB" "Financials"
"UTX" "Industrials"
"VAR" "HealthCare"
"VFC" "ConsumerDiscretionary"
"VLO" "Energy"
"VMC" "matTelUtil"
"VNO" "Financials"
"VZ" "matTelUtil"
"WAG" "ConsumerStaples"
"WDC" "InfoTech"
"WEC" "matTelUtil"
"WFC" "Financials"
"WFM" "ConsumerStaples"
"WHR" "ConsumerDiscretionary"
"WM" "Industrials"
"WMB" "Energy"
"WMT" "ConsumerStaples"
"WPO" "ConsumerDiscretionary"
"WY" "Financials"
"X" "matTelUtil"
"XEL" "matTelUtil"
"XL" "Financials"
"XLNX" "InfoTech"
"XOM" "Energy"
"XRAY" "HealthCare"
"XRX" "InfoTech"
"ZION" "Financials"
